,ID,trial,TargetPosition,RT,ampWinner,ampAveraging
288,288,88,70,,,
289,289,89,70,,,
290,290,90,70,,,
291,291,91,70,,,
292,292,92,70,,,
293,293,93,70,,,
294,294,94,70,,,
295,295,95,70,,,
296,296,96,70,,,
297,297,97,70,,,
298,298,98,70,,,
299,299,99,70,,,
300,300,100,70,,,
301,301,101,70,,,
302,302,102,70,,,
303,303,103,70,,,
304,304,104,70,,,
305,305,105,70,,,
306,306,106,70,,,
307,307,107,70,,,
308,308,108,70,,,
309,309,109,70,,,
310,310,110,70,,,
311,311,111,70,,,
312,312,112,70,,,
313,313,113,70,,,
314,314,114,70,,,
315,315,115,70,,,
316,316,116,70,,,
317,317,117,70,,,
318,318,118,70,,,
319,319,119,70,,,
320,320,120,70,,,
321,321,121,70,,,
322,322,122,70,,,
323,323,123,70,,,
324,324,124,70,,,
325,325,125,70,,,
326,326,126,70,,,
327,327,127,70,,,
328,328,128,70,,,
329,329,129,70,,,
330,330,130,70,,,
331,331,131,70,1104,92,25.470176529267793
332,332,132,70,,,
333,333,133,70,,,
334,334,134,70,,,
335,335,135,70,,,
336,336,136,70,,,
337,337,137,70,,,
338,338,138,70,,,
339,339,139,70,,,
340,340,140,70,,,
341,341,141,70,,,
342,342,142,70,,,
343,343,143,70,,,
344,344,144,70,,,
345,345,145,70,,,
346,346,146,70,,,
347,347,147,70,,,
348,348,148,70,,,
349,349,149,70,,,
350,350,150,70,,,
351,351,151,70,,,
352,352,152,70,,,
353,353,153,70,,,
354,354,154,70,,,
355,355,155,70,,,
356,356,156,70,,,
357,357,157,70,,,
358,358,158,70,,,
359,359,159,70,,,
360,360,160,70,,,
361,361,161,70,,,
362,362,162,70,,,
363,363,163,70,,,
364,364,164,70,,,
365,365,165,70,,,
366,366,166,70,,,
367,367,167,70,,,
368,368,168,70,,,
369,369,169,70,,,
370,370,170,70,,,
371,371,171,70,,,
372,372,172,70,,,
373,373,173,70,,,
374,374,174,70,,,
375,375,175,70,,,
376,376,176,70,,,
377,377,177,70,,,
378,378,178,70,,,
379,379,179,70,,,
380,380,180,70,,,
381,381,181,70,,,
382,382,182,70,,,
383,383,183,70,,,
384,384,184,70,,,
385,385,185,70,,,
386,386,186,70,,,
387,387,187,70,,,
388,388,188,70,,,
389,389,189,70,,,
390,390,190,70,,,
391,391,191,70,,,
392,392,192,70,,,
393,393,193,70,,,
394,394,194,70,,,
395,395,195,70,,,
396,396,196,70,,,
397,397,197,70,,,
398,398,198,70,,,
399,399,199,70,,,
400,400,0,80,873,95,26.80505744148877
401,401,1,80,890,92,28.120871742618277
402,402,2,80,933,94,28.70041170453321
403,403,3,80,909,95,29.205679916953002
404,404,4,80,976,92,31.450964176396692
405,405,5,80,929,93,29.031786810633537
406,406,6,80,941,93,27.591743139426857
407,407,7,80,993,90,28.190009003428795
408,408,8,80,975,92,29.248618697567196
409,409,9,80,830,93,24.37071373315288
410,410,10,80,1023,92,28.90734300052055
411,411,11,80,862,97,29.686400221563567
412,412,12,80,916,93,29.724950181995723
413,413,13,80,994,95,29.91260143315196
414,414,14,80,976,94,29.816064409687616
415,415,15,80,978,91,30.464175142600602
416,416,16,80,969,98,30.458418732892742
417,417,17,80,1025,93,29.51938479574053
418,418,18,80,910,91,28.01529981058345
419,419,19,80,1047,94,32.68402120228109
420,420,20,80,923,97,31.471121602358892
421,421,21,80,894,94,28.442966801279077
422,422,22,80,954,94,30.608290384343135
423,423,23,80,866,95,27.396528236117135
424,424,24,80,937,97,30.03612522512603
425,425,25,80,947,92,28.773315587511608
426,426,26,80,945,92,30.00011800967861
427,427,27,80,898,95,26.99653056416807
428,428,28,80,928,93,30.505395459498157
429,429,29,80,924,92,29.2218275702538
430,430,30,80,937,92,28.67429022086998
431,431,31,80,997,94,29.336955893731684
432,432,32,80,1033,95,32.62848069006225
433,433,33,80,937,93,30.212782346209952
434,434,34,80,975,91,30.13356070129121
435,435,35,80,,,
436,436,36,80,856,93,26.051250838591812
437,437,37,80,854,93,25.950776880246703
438,438,38,80,980,91,29.379243114973136
439,439,39,80,957,90,30.279711984069156
440,440,40,80,955,92,29.333525297968585
441,441,41,80,901,99,29.270647278081373
442,442,42,80,931,95,27.370861190279765
443,443,43,80,856,96,27.65960630875498
444,444,44,80,,,
445,445,45,80,934,93,28.988016504795393
446,446,46,80,952,101,30.990352369735675
447,447,47,80,961,95,28.011219967165342
448,448,48,80,1035,96,30.208422552366258
449,449,49,80,901,95,29.969607140180667
450,450,50,80,918,92,27.110400625701633
451,451,51,80,840,91,25.528973447771428
452,452,52,80,999,95,30.58420494348073
453,453,53,80,969,98,29.803448449677642
454,454,54,80,866,91,26.659286461334148
455,455,55,80,968,97,29.65174709850565
456,456,56,80,871,95,27.694780929812794
457,457,57,80,884,93,27.883829031584114
458,458,58,80,876,90,27.217504818574046
459,459,59,80,848,94,29.225398635440076
460,460,60,80,1000,94,32.252074001441585
461,461,61,80,895,94,27.95391205434907
462,462,62,80,917,95,28.075696685150312
463,463,63,80,912,93,28.11762550438473
464,464,64,80,900,92,28.950690506657384
465,465,65,80,1040,94,29.076792454183387
466,466,66,80,938,92,28.663995677434826
467,467,67,80,891,98,28.17543686151054
468,468,68,80,897,93,29.885189353487412
469,469,69,80,902,93,30.01828475965263
470,470,70,80,1057,99,29.963772691119477
471,471,71,80,852,91,27.009975120607766
472,472,72,80,938,101,31.650742549513815
473,473,73,80,891,95,25.853823740068936
474,474,74,80,963,94,30.758360177701125
475,475,75,80,903,93,27.19766830293651
476,476,76,80,915,92,30.328777720400733
477,477,77,80,892,92,28.370535998836733
478,478,78,80,911,93,29.754856584743766
479,479,79,80,1072,91,28.045234504617063
480,480,80,80,936,94,28.649066745476564
481,481,81,80,893,93,29.338444830130815
482,482,82,80,914,92,29.46921743973287
483,483,83,80,944,101,31.520762269180715
484,484,84,80,996,95,30.471523279265188
485,485,85,80,977,96,30.383880725332144
486,486,86,80,947,91,29.60957325896933
487,487,87,80,924,91,27.80786100554857
488,488,88,80,914,94,31.84086682304536
489,489,89,80,1013,96,28.498921229514227
490,490,90,80,915,93,29.032461854728545
491,491,91,80,1020,94,30.360286976097534
492,492,92,80,991,95,31.39782806420517
493,493,93,80,915,91,29.602411649274348
494,494,94,80,967,96,28.909460131321843
495,495,95,80,,,
496,496,96,80,869,96,28.271751921105608
497,497,97,80,903,98,29.853593894362092
498,498,98,80,927,91,27.86223146456799
499,499,99,80,906,97,28.12074339207402
500,500,100,80,876,99,27.950761958725643
501,501,101,80,933,98,28.96373205042741
502,502,102,80,932,92,29.926387917135457
503,503,103,80,888,94,31.617198962492207
504,504,104,80,1007,96,30.6022661395081
