,ID,trial,TargetPosition,RT,ampWinner,ampAveraging
176,176,76,20,1165,46,46.08109582813548
177,177,77,20,,,
178,178,78,20,986,44,30.7909302950421
179,179,79,20,892,43,31.08062332705337
180,180,80,20,,,
181,181,81,20,,,
182,182,82,20,1054,44,30.746882193374034
183,183,83,20,,,
184,184,84,20,886,43,30.501443227487652
185,185,85,20,984,48,30.685001119308847
186,186,86,20,1165,46,47.91248417658028
187,187,87,20,1048,43,29.222573686410588
188,188,88,20,1188,51,50.30960752576243
189,189,89,20,775,42,26.700604542901985
190,190,90,20,,,
191,191,91,20,1064,41,30.365830234355336
192,192,92,20,783,44,26.45137212112504
193,193,93,20,769,45,27.176990027861045
194,194,94,20,,,
195,195,95,20,,,
196,196,96,20,1072,39,30.984101515092767
197,197,97,20,879,43,30.23993189239703
198,198,98,20,896,44,32.414346111614805
199,199,99,20,802,45,28.071964990416422
200,200,0,30,788,47,30.634687263944233
201,201,1,30,760,41,29.55475807643075
202,202,2,30,756,46,30.626968333246882
203,203,3,30,755,40,30.16160352295914
204,204,4,30,762,46,30.3184050689029
205,205,5,30,753,45,31.74188274457079
206,206,6,30,753,45,30.67670663410161
207,207,7,30,759,42,29.701706859684354
208,208,8,30,824,43,31.29723663032643
209,209,9,30,760,45,30.37036322996
210,210,10,30,764,42,29.65211628440645
211,211,11,30,763,46,28.79020167760784
212,212,12,30,788,43,30.315952112832633
213,213,13,30,758,43,30.66841456174969
214,214,14,30,597,42,32.82408660248154
215,215,15,30,756,45,29.774611155347053
216,216,16,30,755,44,30.214939128340692
217,217,17,30,761,39,30.813988777639768
218,218,18,30,754,40,31.322089316157346
219,219,19,30,755,44,30.590419081523105
220,220,20,30,755,46,31.137503539379455
221,221,21,30,529,48,30.978306345730104
222,222,22,30,754,44,30.024472246141624
223,223,23,30,757,44,30.30056538368916
224,224,24,30,762,44,30.15375598780625
225,225,25,30,752,42,31.736163927178847
226,226,26,30,755,44,30.105546470731166
227,227,27,30,757,44,29.513729560029958
228,228,28,30,788,45,31.504021649858498
229,229,29,30,754,44,31.143212345786278
230,230,30,30,759,40,30.320535660084985
231,231,31,30,759,45,30.343493236192188
232,232,32,30,757,40,30.619438016726946
233,233,33,30,820,47,33.78277448196052
234,234,34,30,804,42,30.920214981594615
235,235,35,30,841,42,32.26140579555517
236,236,36,30,762,47,28.557395913298443
237,237,37,30,753,44,31.12996555565154
238,238,38,30,485,41,31.017968134935973
239,239,39,30,759,42,29.57999999145469
240,240,40,30,772,43,28.604305019792935
241,241,41,30,763,42,29.160619751745198
242,242,42,30,754,40,31.299485096744473
243,243,43,30,761,43,29.45766274979941
244,244,44,30,766,45,28.811258999519175
245,245,45,30,821,44,32.58520639155593
246,246,46,30,759,42,31.500256789303055
247,247,47,30,753,44,32.14360549079493
248,248,48,30,751,43,34.46549372974229
249,249,49,30,894,42,33.28092995586404
250,250,50,30,767,43,28.79481345605134
251,251,51,30,750,44,32.31099795535607
252,252,52,30,755,45,30.615483276046103
253,253,53,30,754,43,29.807709990547593
254,254,54,30,755,43,30.101692899721048
255,255,55,30,755,40,30.935954356934502
256,256,56,30,752,42,30.655686720247097
257,257,57,30,761,46,28.407548188711015
258,258,58,30,761,42,28.864832040568484
259,259,59,30,756,45,30.800888207306727
260,260,60,30,616,47,34.33471675111164
261,261,61,30,752,49,31.855491774305627
262,262,62,30,794,42,31.936517216630044
263,263,63,30,752,45,30.582423312037733
264,264,64,30,755,41,31.25233175004543
265,265,65,30,779,42,29.050542490358474
266,266,66,30,756,46,30.630693913006304
267,267,67,30,762,42,30.195765138218675
268,268,68,30,314,50,33.25894006973439
269,269,69,30,761,39,29.501369603766094
270,270,70,30,755,49,32.21580287166448
271,271,71,30,786,46,30.027609394343163
272,272,72,30,786,43,30.458181899916898
273,273,73,30,780,42,27.7577476978549
274,274,74,30,794,46,31.643859850055755
275,275,75,30,755,40,30.46577474253815
276,276,76,30,756,48,29.618128477670034
277,277,77,30,753,43,31.226263199751322
278,278,78,30,775,47,28.751831794858834
279,279,79,30,765,40,29.64802455218948
280,280,80,30,824,45,33.504324482168855
281,281,81,30,759,44,28.970465842281634
282,282,82,30,761,42,29.034661311101527
283,283,83,30,760,46,30.09120893275512
284,284,84,30,755,41,30.855639889124628
285,285,85,30,757,41,30.354265299567828
286,286,86,30,762,39,28.88881707178524
287,287,87,30,756,43,30.39869805011269
288,288,88,30,755,40,30.56810386392591
289,289,89,30,768,45,29.81561006745925
290,290,90,30,757,41,30.54496931550253
291,291,91,30,800,47,31.258192614877142
292,292,92,30,758,44,29.373784938754493
293,293,93,30,758,45,29.211859161546396
294,294,94,30,752,48,31.040497982885892
295,295,95,30,758,42,29.31164523299425
296,296,96,30,757,44,30.022957227513494
297,297,97,30,836,48,33.716763994075734
298,298,98,30,757,41,29.901611729946655
299,299,99,30,751,42,31.763307747806984
300,300,0,40,759,46,30.884574531776803
301,301,1,40,760,41,32.73126745744855
302,302,2,40,754,41,33.72243073412433
303,303,3,40,753,48,32.46389517947829
304,304,4,40,751,46,33.39046253826993
305,305,5,40,752,42,34.26715033882833
306,306,6,40,753,45,32.9799988863209
307,307,7,40,751,43,33.87718459338749
308,308,8,40,754,46,32.812078176786684
309,309,9,40,757,46,33.79389114891779
310,310,10,40,754,47,32.60722960750064
311,311,11,40,754,40,31.62798042401047
312,312,12,40,755,45,34.635441360462
313,313,13,40,757,43,33.409166711847334
314,314,14,40,597,42,32.82408660248154
315,315,15,40,753,49,32.73291682441821
316,316,16,40,752,50,33.2964870358561
317,317,17,40,759,39,34.365306014779854
318,318,18,40,754,40,33.87986275626246
319,319,19,40,751,48,34.023047534535884
320,320,20,40,752,46,34.36965341554567
321,321,21,40,529,48,30.978306345730104
322,322,22,40,753,44,32.41049075418275
323,323,23,40,754,45,33.64861317167802
324,324,24,40,756,49,33.928119640048344
325,325,25,40,752,42,33.809884699159866
326,326,26,40,754,44,32.744685968014196
327,327,27,40,756,44,32.05168065190394
328,328,28,40,757,44,33.76179079911603
329,329,29,40,753,44,33.38487452778377
330,330,30,40,756,40,33.744618908157186
331,331,31,40,753,45,33.51047400448789
332,332,32,40,755,50,34.33377146951487
333,333,33,40,754,48,33.04259743351991
334,334,34,40,757,47,32.03443290623119
335,335,35,40,756,44,32.98056396933342
336,336,36,40,759,47,31.229768440188543
337,337,37,40,753,44,33.53894857261624
338,338,38,40,485,41,31.017968134935973
339,339,39,40,757,42,32.91567919145593
340,340,40,40,756,44,32.38777960986543
341,341,41,40,757,47,32.19126921926108
342,342,42,40,754,40,33.78621843241944
343,343,43,40,755,44,32.94250486096212
344,344,44,40,757,45,32.265237055551154
345,345,45,40,753,46,33.15528083794191
346,346,46,40,755,46,35.52910972171789
347,347,47,40,751,44,34.96725608124515
348,348,48,40,751,43,36.47073390321599
349,349,49,40,754,47,31.620982230864907
350,350,50,40,754,40,32.789289590994905
351,351,51,40,750,44,33.55109528071083
352,352,52,40,753,45,32.85183550566493
353,353,53,40,752,43,31.859275891228243
354,354,54,40,754,43,32.66645823603418
355,355,55,40,755,40,33.636858140302316
356,356,56,40,752,42,32.6114767383954
357,357,57,40,755,46,31.395359147947435
358,358,58,40,761,42,31.95832066602692
359,359,59,40,754,50,33.502854390407364
360,360,60,40,616,47,34.33471675111164
361,361,61,40,751,49,33.467549087261894
362,362,62,40,752,47,33.76381540995962
363,363,63,40,751,45,32.10111616257598
364,364,64,40,755,41,34.031818958004855
365,365,65,40,755,47,32.62678805684805
366,366,66,40,754,46,33.22648837590153
367,367,67,40,753,44,33.779235913870515
368,368,68,40,314,50,33.25894006973439
369,369,69,40,752,46,32.379483979124444
370,370,70,40,753,49,35.44827163051283
371,371,71,40,755,39,32.03862065318513
372,372,72,40,764,42,31.657291620667575
373,373,73,40,753,43,32.01542755838478
374,374,74,40,758,45,32.526275050473295
375,375,75,40,753,50,33.027606899776714
376,376,76,40,754,48,32.98857201103845
377,377,77,40,750,43,34.17033755173039
378,378,78,40,756,46,33.31955047505255
379,379,79,40,752,45,33.76800230987685
380,380,80,40,755,47,31.975979000058565
381,381,81,40,753,45,31.879405986842443
382,382,82,40,760,42,32.12517365340599
383,383,83,40,756,43,34.07612922036184
384,384,84,40,755,41,33.80580511417361
385,385,85,40,753,41,33.154092346476354
386,386,86,40,758,44,32.77955262823504
387,387,87,40,752,48,33.05844308459046
388,388,88,40,753,40,33.14045472024352
389,389,89,40,756,49,32.95044287708323
390,390,90,40,755,44,33.90675784702072
391,391,91,40,755,46,32.39163739289174
392,392,92,40,755,48,32.86919535655619
393,393,93,40,756,45,31.870605655595075
394,394,94,40,751,48,32.69730399287562
395,395,95,40,757,42,32.7679290274321
396,396,96,40,751,51,33.23286253193043
397,397,97,40,755,46,32.74425842668616
398,398,98,40,754,49,33.22224221884105
399,399,99,40,751,42,33.48291022805656
400,400,0,50,758,46,33.23109244885239
401,401,1,50,759,43,36.17368459459327
402,402,2,50,754,41,35.84530970315778
403,403,3,50,753,48,34.204537627308085
404,404,4,50,751,46,34.885521186720176
